Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID
Capricorn ornament,,NA,3,star fragment,2,Capricorn fragment,2,gold nugget,12,stone,,,,,NFS,200,NA,NA,Celeste,,Capricorn,Yes,1.0.0,Yes,0,Housewares,5957,silver,FtrZodiacCapricornus,NA,2309,370,WzAvFzPD5oa7ZijeY
cardboard bed,,NA,4,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,1,Housewares,7161,yellow,FtrCardboardBedS,NA,2133,497,egMT9pGzXF4tW2TcQ
cardboard chair,,NA,1,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,1,Housewares,7163,yellow,FtrCardboardChairS,NA,2130,498,keFZfoTQf5ShhZn7b
cardboard sofa,,NA,2,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,1,Housewares,7159,yellow,FtrCardboardSofaL,NA,2131,500,XfuFR6TygpGsHECLn
cardboard table,,NA,4,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,1,Housewares,7160,yellow,FtrCardboardTableL,NA,2132,496,nXCaiKb8ZKtRdFrps
carp on a cutting board,,NA,1,carp,1,wood,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,2.0.0,Yes,0,Miscellaneous,12709,yellow,FtrManaitafish,NA,2169,1059,8gdsJ5gZNX6wc5hxn
carpaccio di capesante,,NA,2,scallop,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14172,color_69,FtrCarpaccioScallop,NA,13401,952,CHgpjoivfXi5sSEH7
carpaccio di marlin blu,,NA,1,blue marlin,,,,,,,,,,,NFS,200,NA,NA,Catching a blue marlin,,NA,NA,2.0.0,Yes,0,Savory,14167,color_65,FtrCarpaccioMarlin,NA,13404,947,wpSKssWkmQXBWqnaz
carpaccio di salmone,,NA,1,salmon,,,,,,,,,,,NFS,200,NA,NA,Catching a salmon,,NA,NA,2.0.0,Yes,0,Savory,14166,color_61,FtrCarpaccioSalmon,NA,13402,946,bmorWDJkmeN8W4o3g
carrot bagel sandwich,,NA,2,whole-wheat flour,3,carrot,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14126,color_66,FtrBeaglesandCarrot,NA,12412,934,qsyD5aLzCKuWSAvnL
carrot cake,,NA,1,flour,1,sugar,1,carrot,,,,,,,NFS,200,NA,NA,Basic Cooking Recipes,,NA,NA,2.0.0,Yes,0,Sweet,13946,color_73,FtrTartCarrot,NA,14507,859,oJ8GGAdE2Q5kt6yWx
carrot juice,,NA,2,carrot,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13984,color_76,FtrSmoothieCarrot,NA,15008,893,jvpGM4tN7WzkhSLHN
carrot potage,,NA,1,flour,2,carrot,,,,,,,,,NFS,200,NA,NA,Be a Chef! DIY Recipes+,,NA,NA,2.0.0,Yes,0,Savory,13931,color_62,FtrSoupCarrot,NA,12101,844,9ZRNwBLXsgaRfEmwb
carrot scones,,NA,2,whole-wheat flour,1,sugar,2,carrot,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,14113,color_62,FtrSconeCarrot,NA,14403,921,mBQZ8jFDhSvgG2eMx
carrot-tops curry,,NA,3,flour,3,carrot,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14122,color_77,FtrNancurryCarrot,NA,13102,930,wdvtydv4aMz4ELjd2
cave,,NA,10,vine,20,glowing moss,30,stone,,,,,,,NFS,200,NA,NA,Kapp'n island bottles; HHP island bottles,,NA,NA,2.0.0,Yes,0,Housewares,14017,color_56,FtrCave,NA,1308,762,EpzRc4PyRb2xGfm55
champiñones al ajillo,,NA,1,round mushroom,1,flat mushroom,1,skinny mushroom,1,rare mushroom,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14180,color_64,FtrSkilletMushroom,NA,12702,960,ycuDRzh8vkpz6LxgT
cherry dress,,NA,8,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9838,yellow,TopsTexOnepieceAlineNCherry0,NA,1726,612,XeA7zE2nkf38vLXR2
cherry hat,,NA,5,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9873,yellow,CapHatCherry0,NA,1725,613,t7SsbKgRAa6GWgjR8
cherry jam,,NA,3,cherry,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14173,color_76,FtrJarCherry,NA,13612,953,tfk8s7ffj4DNd4kEo
cherry jelly,,NA,2,cherry,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13962,color_60,FtrJellyCherry,NA,14302,871,miB5kPSoPeCtJcnwR
cherry lamp,,NA,10,cherry,2,clay,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,NA,NA,1.0.0,Yes,100,Wall-mounted,4012,yellow,FtrFruitsLampW,NA,1721,162,6hBjge6rn7Sxd5sr7
cherry pie,,NA,3,flour,2,sugar,2,cherry,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13937,color_68,FtrPieCherry,NA,14902,850,QsEtGJy2spmTsiGZs
cherry rug,,NA,6,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Rugs,7328,yellow,RugOtherCherryM00,NA,1723,543,pMnYDcm7v9cjAdLj2
cherry smoothie,,NA,2,cherry,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13991,color_76,FtrSmoothieCherry,NA,15002,900,oxbnwb526u3d56MoZ
cherry speakers,,NA,10,cherry,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,NA,NA,1.0.0,Yes,100,Miscellaneous,4011,yellow,FtrFruitsMusic,NA,1720,161,TtSKEhTt2uf2P9Mcj
cherry tart,,NA,1,flour,1,sugar,1,cherry,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13952,color_70,FtrTartCherry,NA,14502,865,XwhvFXRYNmrgPic2F
cherry umbrella,,NA,7,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9949,yellow,UmbrellaCherry0,NA,1724,614,pKzsdzbBmNX3hZd7R
cherry wall,,NA,20,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4919,yellow,RoomTexWallCherry00,NA,1722,307,c4EyTmXti6TusMbGF
cherry-blossom bonsai,,NA,6,cherry-blossom petal,2,hardwood,3,clump of weeds,3,clay,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Miscellaneous,6030,pink,FtrBonsaiSakura,NA,3401,375,ToGQibiXb4sB3pT7B
cherry-blossom branches,,NA,8,cherry-blossom petal,4,tree branch,5,clay,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6031,pink,FtrSakuraBranch,NA,3402,419,6P3zgNBfKCc3vZxjJ
cherry-blossom clock,,NA,5,cherry-blossom petal,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Wall-mounted,6832,pink,FtrSakuraClockW,NA,3430,426,9kPKbzAAQzJTu9758
cherry-blossom flooring,,NA,10,cherry-blossom petal,20,clump of weeds,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Floors,7204,pink,RoomTexFloorSakura00,NA,3460,479,Bthw6qsrWMxRp4L2J
cherry-blossom pochette,,NA,6,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Equipment,7490,pink,BagShoulderCherryblossoms0,NA,3481,630,vh9iLeDKLo3LR8T4G
cherry-blossom pond stone,,NA,10,stone,3,cherry-blossom petal,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,7409,light gray,FtrStonewaterbowlSakura,NA,820,511,5kPZxufBzifksrFoK
cherry-blossom rug,,NA,6,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,2.0.0,Yes,0,Rugs,12351,pink,RugOtherSakuraM00,NA,3470,839,Fd5KdxusZFatkMdbm
cherry-blossom umbrella,,NA,7,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Equipment,9945,pink,UmbrellaCherryblossom0,NA,3480,629,Ss2QnC4nP26NFyexM
cherry-blossom wand,,NA,3,cherry-blossom petal,3,star fragment,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Tools,7589,pink,ToolStickCherryblossom,NA,3490,537,TRZ2p8L58k3FvGpPJ
cherry-blossom-petal pile,,NA,5,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6032,pink,FtrSakuraPetal,NA,3400,418,Brh7tns5YQ2rzkYLN
cherry-blossom-trees wall,,NA,10,cherry-blossom petal,5,hardwood,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Wallpaper,7205,pink,RoomSpWallSakura00,NA,3450,480,C4v4pT2hwNJdB82tD
chic cosmos wreath,,NA,10,black cosmos,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5764,green,FtrDoorOrnamentWreathCosmosRare,NA,7848,444,XgThrnxG75cqkssWt
chic mum crown,,NA,3,purple mums,3,pink mums,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5118,green,CapOrnamentMum2,NA,8204,259,tZEt9aNRec7gTZDjp
chic rose crown,,NA,3,purple roses,3,black roses,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,5113,green,CapOrnamentRose3,NA,8214,254,af3PHSYfriLmgvb8b
chic tulip crown,,NA,2,purple tulips,2,pink tulips,1,orange tulips,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5103,green,CapOrnamentTulip2,NA,8210,244,AWo72X4YM3PnWSL2P
chic windflower wreath,,NA,10,purple windflowers,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5765,green,FtrDoorOrnamentWreathAnemoneRare,NA,7842,440,2W5Pa9MKWHhknBENu
chocolate herringbone wall,,NA,15,softwood,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4805,brown,RoomTexWallHerringbone01,NA,525,313,TvTxY9NBsDvQfXAJH
clackercart,,NA,2,hardwood,6,softwood,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,80,brown,FtrKatakatatoy,NA,402,164,EqWJqEqcpki2TCTXS
clam chowder,,NA,1,flour,3,manila clam,,,,,,,,,NFS,200,NA,NA,Turkey Day Recipes,Obtain Turkey Day Recipes from Franklin or buy it from Nook's Cranny,Turkey Day; Turkey Day (days after),Yes,2.0.0,Yes,0,Savory,13328,color_62,FtrClamchowder,NA,15201,972,z7zkGmyQBd5wzHumd
classic pitcher,,NA,4,clay,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers; Tom Nook,Obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Miscellaneous,4073,brick,FtrPotteryjug,NA,702,192,jtdnvzuzyxYDa6xov
classic-library wall,,NA,10,book,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4837,yellow,RoomTexWallLibrary00,NA,2103,317,tWZXois4WZ3ztMwv6
clothesline,,NA,10,tree branch,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,3229,brown,FtrClothesline,NA,203,457,kQm8o92yBJJPNpM2o
coconut cookies,,NA,1,flour,1,sugar,1,coconut,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13989,color_68,FtrCookieCoconut,NA,14004,898,DRDHZtFKphwFFqmpD
coconut juice,,NA,1,coconut,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,3684,green,FtrCoconutjuice,NA,1840,163,43ztxc7D5XHDmAMXA
coconut milk,,NA,2,coconut,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13985,color_76,FtrSmoothieCoconut,NA,15006,894,gCkAxfcMhuDxXCu4D
coconut oil,,NA,3,coconut,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14177,color_76,FtrJarCoconut,NA,13616,957,69bscajYnLLyXgpiv
coconut pancakes,,NA,2,flour,2,sugar,2,coconut,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,14130,color_68,FtrPancakeCocconut,NA,14802,938,9cSsmgscZES3uYmJE
coconut pudding,,NA,1,sugar,2,coconut,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13960,color_60,FtrJellyCoconut,NA,14306,869,96uWdaPQnzcjpPfgc
coconut wall planter,,NA,1,coconut,5,clump of weeds,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4130,green,FtrPlanterPalm,NA,1842,405,tw8LKPHQrkMZwgAua
colored-leaves flooring,,NA,10,maple leaf,15,clump of weeds,,,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Floors,4990,brown,RoomTexFloorAutumun00,NA,4660,476,ENEvnncek9KfcwS9G
concrete pillar,,NA,3,stone,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Niko,"Received after donating DIY materials, after 19th HHP house",Happy Home Paradise,Yes,2.0.0,Yes,0,Other,14602,color_51,FtrWallPillarConcrete,NA,882,837,ER3YvPSaaPNB5PgKd
cookies,,NA,1,flour,1,sugar,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13978,color_61,FtrCookiePlain,NA,14001,887,ymq2xMNq2bbBo85ZL
cool hyacinth crown,,NA,4,blue hyacinths,2,pink hyacinths,2,orange hyacinths,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5097,green,CapOrnamentHyacinth2,NA,8221,238,zRzWiZwk8nTjaPxy7
cool hyacinth wreath,,NA,3,orange hyacinths,3,blue hyacinths,3,pink hyacinths,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5750,green,FtrDoorOrnamentWreathHyacinthMix,NA,7861,453,HaC5frhoXCDpy5YYj
cool pansy crown,,NA,3,orange pansies,3,blue pansies,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5106,green,CapOrnamentPansy2,NA,8218,247,HH3M3xNAeCLsHTZRj
cool pansy wreath,,NA,10,purple pansies,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5767,green,FtrDoorOrnamentWreathPansyRare,NA,7859,450,RxiJe64ebSZy3dsHg
cool windflower crown,,NA,3,blue windflowers,3,pink windflowers,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5100,green,CapOrnamentAnemone2,NA,8201,241,8KsLNr5dskMACBgmg
cool windflower wreath,,NA,3,blue windflowers,3,pink windflowers,3,white windflowers,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5746,green,FtrDoorOrnamentWreathAnemoneMix,NA,7841,441,Aer6cEdrENAWFD4TP
corral fence,,NA,6,wood,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,4349,brown,ItemFenceHorizontalWood,NA,580,269,MRhMdwsDKNuaDfi8s
corrugated iron fence,,NA,3,iron nugget,3,hardwood,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,2.0.0,Yes,0,Other,14758,dark gray,ItemFenceCorrugatedIron,NA,974,1010,TqTA95GepiFoFcr32
cosmos crown,,NA,2,red cosmos,2,yellow cosmos,3,white cosmos,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,0,Equipment,5108,green,CapOrnamentCosmos1,NA,8206,249,RBhKgvizEg6uocZvQ
cosmos shower,,NA,5,pink cosmos,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,7230,green,FtrFlowerShower,NA,7802,501,WqnkcGJydxs7ueTdr
cosmos wand,,NA,1,white cosmos,3,star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Tools,5092,green,ToolStickCosmos,NA,8272,528,qw6sc7YjNoXFjQt7J
cosmos wreath,,NA,3,yellow cosmos,3,white cosmos,3,red cosmos,,,,,,,NFS,200,NA,NA,All villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native flower is cosmos,NA,NA,1.0.0,Yes,50,Wall-mounted,4293,green,FtrDoorOrnamentWreathCosmos,NA,7846,227,KwujCjwLcpr42PGb3
country fence,,NA,6,hardwood,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,4350,brown,ItemFenceLog,NA,583,268,Wy3TCH3APTHJrpDhg
crescent-moon chair,,NA,7,star fragment,1,large star fragment,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,6829,silver,FtrStarMoonChairL,NA,2201,432,3FcpSCLM9gcJrNhMu
crest doorplate,,NA,4,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,5717,dark gray,FtrDoorOrnamentCrest,NA,941,469,rBCZK2XaMKZ4jXrNH
crewed spaceship,,NA,10,star fragment,20,iron nugget,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,5676,silver,FtrSpacecraft,NA,2224,434,2SBnbqnymBq9DczP6
cute lily crown,,NA,2,pink lilies,2,orange lilies,2,white lilies,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5115,green,CapOrnamentYuri2,NA,8224,256,WNR9mPLvre4qtfrnQ
cute rose crown,,NA,3,pink roses,3,orange roses,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Equipment,5112,green,CapOrnamentRose2,NA,8213,253,GqacSkmPu6G4u43tR
cutting board,,NA,2,hardwood,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,3618,brown,FtrCuttingboard,NA,465,284,ebxdGKznZzRDMMccg
dark bamboo bath mat,,NA,3,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,2.0.0,Yes,50,Rugs,12400,green,RugRectBambooS01,NA,2472,988,isngE8wycPdTNcA7Z
dark bamboo rug,,NA,6,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Rugs,11114,green,RugRectBambooM01,NA,2470,672,4FRs7iQAhxjseeyWP
dark cosmos crown,,NA,7,black cosmos,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,5110,green,CapOrnamentCosmos3,NA,8208,251,yoXYwWGZ7xpNi9P4W
dark lily crown,,NA,6,black lilies,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,5116,green,CapOrnamentYuri3,NA,8225,257,Fr3oaQMDbkQ9N9i8t
dark lily wreath,,NA,10,black lilies,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5770,green,FtrDoorOrnamentWreathYuriRare,NA,7865,454,ExWh3urifQgJTCCH3
dark rose wreath,,NA,3,black roses,6,purple roses,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5766,green,FtrDoorOrnamentWreathRoseRare,NA,7854,446,utyr7MwFDwd8syFcW
dark tulip crown,,NA,5,black tulips,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,5104,green,CapOrnamentTulip3,NA,8211,245,xJjpphgWJpHubYFET
dark tulip wreath,,NA,10,black tulips,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5771,green,FtrDoorOrnamentWreathTulipRare,NA,7851,362,oCnpF6D3PyAJ5kGz8
dark wooden-mosaic wall,,NA,15,wood,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4860,brown,RoomTexWallMixPlankWood01,NA,522,311,sEZQCkucygfgPphNu
decayed tree,,NA,10,hardwood,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,2.0.0,Yes,0,Housewares,14549,brown,FtrDeadtree,NA,443,1043,KgaQ5v3R4eeN7wLnf
decoy duck,,NA,4,softwood,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,1797,brown,FtrDecoy,NA,466,390,Rb8PSLPkNwP7hCk8G
deer decoration,,NA,8,softwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3340,brown,FtrHuntingtrophy,NA,482,378,BTF82ckDtSkknQmua
deer scare,,NA,3,bamboo piece,8,stone,3,clump of weeds,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Housewares,677,green,FtrShishiodoshi,NA,2408,359,Tdhp7ADcciKJj7y3H
destinations signpost,,NA,4,hardwood,8,softwood,,,,,,,,,NFS,200,1500,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,4309,brown,FtrSignpostWorld,NA,441,383,39ryJtTNCrokaosYW
dharma,,NA,3,mini dharma,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,2.0.0,Yes,50,Miscellaneous,1573,yellow,FtrDharma,NA,2162,824,2fuiLiwuNQqwk7w4J
DIY workbench,,NA,5,wood,5,hardwood,5,softwood,3,iron nugget,1,mini DIY workbench,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Housewares,1241,brown,FtrWorkbench,NA,302,263,sjr8rh3ZujiLscc3C
document stack,,NA,1,scattered papers,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,100,Miscellaneous,1750,yellow,FtrOfficePapers,NA,2120,462,rLvnyoEj48NFgsNpX
doghouse,,NA,10,wood,7,hardwood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,1799,brown,FtrDoghouse,NA,430,14,vMF3FP2steT4gaJ9u
donation box,,NA,4,wood,4,softwood,,,,,,,,,NFS,200,800,Nook Miles,Nook Miles Redemption,,NA,NA,2.0.0,Yes,0,Miscellaneous,14714,brown,FtrDonationBox,NA,471,1039,YHaQu8WjCydGzDHKv
drinking fountain,,NA,8,stone,2,iron nugget,,,,,,,,,NFS,200,800,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,2319,light gray,FtrDrinkingfountain,NA,803,77,tsTxksskAQtbvJMWB
earth-egg outfit,,NA,3,earth egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting earth eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12449,yellow,TopsTexOnepieceRibNEggground0,NA,8661,674,7Mt6bHNy79mjNGipa
earth-egg shell,,NA,2,earth egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting earth eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12439,yellow,CapHatEggground0,NA,8660,673,C9wvFR7fBGccZDyWa
earth-egg shoes,,NA,2,earth egg,,,,,,,,,,,NFS,NA,NA,NA,Collecting earth eggs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12455,yellow,ShoesLowcutEggground0,NA,8662,675,usLoxmkjFnPhxs9nr
egg party dress,,NA,3,earth egg,3,stone egg,3,leaf egg,3,wood egg,3,sky egg,3,water egg,NFS,NA,NA,NA,Learning all egg outfit DIYs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12448,yellow,TopsTexOnepieceBalloonLEgg0,NA,8679,692,zNdwTbYA7G3MRrqkE
egg party hat,,NA,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,NA,NA,NA,Learning all egg outfit DIYs,,Bunny Day (days before); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12446,yellow,CapHatEggparty0,NA,8678,691,SCBtDqCaR7QLCprjw
falling-snow wall,,NA,3,snowflake,10,stone,,,,,,,,,NFS,200,NA,NA,Balloons,,snowflakes,Yes,1.6.0,Yes,0,Wallpaper,13603,blue,RoomSpWallSnowy00,NA,7053,752,3Qhzt3AsgTfjoQ98s
fancy lily wreath,,NA,3,orange lilies,3,pink lilies,3,yellow lilies,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5677,green,FtrDoorOrnamentWreathYuriMix,NA,7864,455,yj4Z2oGDi6Thvm89d
fancy mum wreath,,NA,3,pink mums,3,purple mums,3,red mums,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5749,green,FtrDoorOrnamentWreathMumMix,NA,7844,443,qW3wgimoN7XhG5BvD
fancy rose wreath,,NA,3,orange roses,3,pink roses,3,yellow roses,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,100,Wall-mounted,5747,green,FtrDoorOrnamentWreathRoseMix,NA,7853,448,vr9dDrXLQuDSwfDdy
festival-lantern set,,NA,4,festival lantern,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,2.0.0,Yes,100,Ceiling Decor,13220,yellow,FtrAsianLanternMCeiling,NA,2165,1057,kHBETWuiwzpgeDkrH
